class,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,Tot2Op,Max2Op,TotMaxOp,MaxTotOp,Tot2Lev,Max2Lev,TotMaxLev,MaxTotLev,Tot2DF,Max2DF,TotMaxDF,MaxTotDF,Tot2DU,Max2DU,TotMaxDU,MaxTotDU,TotInMetCall,MaxInMetCall,inOutDeg,pubMembers,num_Files,num_Classes,num_Methods,num_Lines,num_Added,num_Removed,num_Modified,num_Chunks,num_Failing_Tests,num_Repair_Actions,num_Repair_Patterns,First_Exception,Loc_Predicat,Loc_ConditionalBlock,Loc_FunctionBody,Loc_Constructor,Loc_LoopBody,Ncf,Nuf,Ncs,Ns,Nf,Ntsc,Ndsc,Nntc,runtime,passTestRatio,failTestRatio,TotPassTestRatio,TotFailTestRatio,NTestRunPerRT,Um,Md,Nmd,Gs,DDU,Jaccard,label
org.joda.time.JodaTimePermission,0,1,3,0,0,0,1,1,0,1,0,1,0,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,3801,22,107,12,3823,88,1.0,0.0,0.005493068270991368,0.0,0.23863636363636365,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0,Bad
org.joda.time.chrono.BasicChronology,24,82,8,3,71,1421,54,10,0,26,2,22,40,684,157,7,46,37,50,3,17,20,2,11,1,108,4,11,2,142,0,4,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1564,3801,22,13418,106,3823,88,0.9974489795918368,0.002551020408163265,0.4091027988490714,0.00104629871828407,17.818181818181817,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0025220680958385876,Bad
org.joda.time.chrono.BasicYearDateTimeField,4,23,4,0,19,0,18,16,0,2,0,1,5,125,15,2,7,5,6,1,5,2,66,5,36,12,67,5,36,12,6,2,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,370,3801,22,2932,57,3823,88,0.9946236559139785,0.005376344086021506,0.09678263144127648,0.000523149359142035,4.2272727272727275,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.00510204081632653,Bad
org.joda.time.DateTimeUtils,16,54,1,0,26,393,30,24,23,5,0,3,30,548,51,3,27,9,32,3,18,9,2,5,2,17,3,4,3,12,0,1,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2339,3801,22,24764,93,3823,88,0.9923631735256683,0.007636826474331778,0.61182317551661,0.004708344232278315,26.78409090909091,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.007623888182973317,Bad
org.joda.time.DateTimeFieldType,5,85,2,0,39,580,37,34,23,30,0,26,44,546,8,1,5,3,98,1,3,48,109,4,11,51,110,2,10,49,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,575,3801,22,577,1,3823,88,0.9965337954939342,0.0034662045060658577,0.1504054407533351,0.000523149359142035,6.556818181818182,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0033500837520938024,Bad
org.joda.time.chrono.GJEraDateTimeField,5,21,3,0,14,106,17,15,0,2,0,1,7,130,8,1,5,4,9,1,4,3,49,3,28,13,50,3,29,13,7,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,943,3801,22,1772,13,3823,88,0.9833159541188738,0.016684045881126174,0.24666492283546954,0.00418519487313628,10.897727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.016580310880829015,Very-Good
org.joda.time.DurationFieldType,4,48,2,0,16,175,22,19,12,17,0,15,1,321,6,1,5,2,54,1,3,26,61,4,9,29,60,2,8,27,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,477,3801,22,528,7,3823,88,0.9958246346555324,0.0041753653444676405,0.12477112215537536,0.000523149359142035,5.443181818181818,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.004008016032064128,Bad
org.joda.time.chrono.GJDayOfWeekDateTimeField,4,11,4,0,10,43,11,8,0,2,0,1,6,126,1,1,1,1,0,0,0,0,19,2,18,3,20,2,18,4,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1714,3801,22,8817,37,3823,88,0.9890363531448355,0.010963646855164455,0.44833900078472405,0.004969918911849333,19.693181818181817,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.010944700460829493,Good
org.joda.time.field.DecoratedDateTimeField,4,12,3,6,9,0,10,9,0,2,0,1,0,91,3,1,1,3,2,1,1,2,17,3,14,4,18,3,15,5,8,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1119,3801,22,5284,22,3823,88,0.9964381121994658,0.003561887800534283,0.2927020664399686,0.00104629871828407,12.761363636363637,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0035056967572304996,Bad
org.joda.time.base.AbstractPartial,9,48,1,3,20,210,21,16,0,0,0,0,3,391,60,3,23,9,34,2,18,11,102,4,37,14,100,3,34,12,18,2,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,169,3801,22,6672,251,3823,88,0.9941176470588236,0.0058823529411764705,0.04420612084750196,0.0002615746795710175,1.9318181818181819,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005235602094240838,Bad
org.joda.time.IllegalFieldValueException,2,27,5,0,13,0,19,17,2,9,0,1,8,302,71,2,12,8,20,2,6,11,103,4,42,17,155,4,38,18,7,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1624,3801,22,11630,56,3823,88,0.9975429975429976,0.002457002457002457,0.42479727962333247,0.00104629871828407,18.5,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.002430133657351154,Bad
org.joda.time.field.MillisDurationField,3,26,2,0,6,253,23,21,0,2,1,2,8,145,6,1,2,5,4,1,2,3,34,3,28,8,33,3,27,7,3,1,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,803,3801,22,2601,31,3823,88,0.9950433705080545,0.004956629491945477,0.21004446769552707,0.00104629871828407,9.170454545454545,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0048484848484848485,Bad
org.joda.time.field.OffsetDateTimeField,4,24,4,0,21,140,20,20,0,4,0,1,4,192,15,2,7,10,5,1,1,5,81,6,54,16,84,6,54,21,12,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1139,3801,22,2780,32,3823,88,0.9861471861471861,0.013852813852813853,0.297933560031389,0.00418519487313628,13.125,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.013781223083548665,Good
org.joda.time.field.PreciseDurationField,3,13,3,0,5,0,11,11,0,2,0,1,5,132,14,2,9,3,6,2,2,6,43,4,25,8,43,4,25,7,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2122,3801,22,10535,26,3823,88,0.991588785046729,0.008411214953271028,0.5550614700496992,0.004708344232278315,24.318181818181817,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.008395522388059701,Bad
org.joda.time.IllegalInstantException,2,7,5,0,5,6,4,3,2,1,0,1,3,80,6,3,4,3,2,1,1,2,13,3,7,7,12,2,6,6,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,130,3801,22,2252,106,3823,88,1.0,0.0,0.034004708344232276,0.0,1.4772727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0,Bad
org.joda.time.chrono.GregorianChronology,5,30,6,0,12,128,17,6,4,8,0,8,11,212,30,4,14,13,9,2,5,5,66,13,39,19,55,10,35,15,6,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,302,3801,22,1169,24,3823,88,0.993421052631579,0.006578947368421052,0.0789955532304473,0.000523149359142035,3.4545454545454546,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.006172839506172839,Bad
org.joda.time.field.RemainderDateTimeField,6,25,4,0,17,106,20,19,0,4,0,1,2,216,26,2,8,7,8,1,4,3,72,5,40,11,80,5,42,15,13,2,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1514,3801,22,4930,24,3823,88,0.9895424836601308,0.01045751633986928,0.39602406487052055,0.00418519487313628,17.386363636363637,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.010416666666666666,Good
org.joda.time.chrono.BaseChronology,10,69,2,4,80,1225,50,49,0,1,0,1,80,625,58,3,14,11,51,3,13,16,281,9,124,48,247,5,108,46,23,8,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3148,3801,22,75446,176,3823,88,0.9940006315124724,0.005999368487527629,0.8234370912895632,0.004969918911849333,35.98863636363637,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005993690851735016,Bad
org.joda.time.tz.DateTimeZoneBuilder,16,285,3,0,124,2703,87,60,10,34,0,3,49,1527,533,12,116,62,428,4,75,60,529,16,66,202,409,8,51,122,12,3,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1558,3801,22,22453,60,3823,88,0.9892063492063492,0.010793650793650795,0.4075333507716453,0.004446769552707298,17.897727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.010759493670886076,Good
org.joda.time.field.UnsupportedDateTimeField,6,60,2,0,10,1395,54,51,1,4,0,2,1,485,16,3,7,10,9,2,3,8,46,5,25,24,42,3,23,18,50,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,316,3801,22,2330,36,3823,88,0.9968454258675079,0.0031545741324921135,0.08265759874444153,0.0002615746795710175,3.602272727272727,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0029585798816568047,Bad
org.joda.time.tz.FixedDateTimeZone,2,16,2,0,6,17,11,11,0,4,0,1,1,89,17,4,11,6,4,1,2,3,28,4,18,8,31,4,19,8,2,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,135,3801,22,867,34,3823,88,0.9440559440559441,0.055944055944055944,0.035312581742087366,0.00209259743656814,1.625,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.050955414012738856,Very-Good
org.joda.time.field.ZeroIsMaxDateTimeField,6,29,4,0,25,325,26,26,0,1,0,1,1,175,11,1,7,3,3,1,3,1,64,5,53,10,64,5,53,10,24,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,354,3801,22,2811,43,3823,88,0.9915966386554622,0.008403361344537815,0.0925974365681402,0.0007847240387130526,4.056818181818182,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.007978723404255319,Bad
org.joda.time.chrono.ZonedChronology,15,107,8,0,78,19,67,55,2,12,0,3,4,554,173,4,68,36,64,2,21,6,236,8,100,106,236,8,99,141,38,3,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,134,3801,22,609,21,3823,88,0.9925925925925926,0.007407407407407408,0.03505100706251635,0.0002615746795710175,1.5340909090909092,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.00641025641025641,Bad
org.joda.time.field.DividedDateTimeField,6,28,4,0,20,31,19,18,0,6,0,1,2,233,44,2,14,15,8,1,4,3,118,7,58,28,118,5,53,29,16,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,453,3801,22,1497,16,3823,88,0.9956043956043956,0.004395604395604396,0.11849332984567094,0.000523149359142035,5.170454545454546,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.004210526315789474,Bad
org.joda.time.Chronology,7,49,1,1,0,1176,49,49,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,293,3801,22,8549,90,3823,88,0.979933110367893,0.020066889632107024,0.07664138111430814,0.0015694480774261052,3.397727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.01904761904761905,Very-Good
org.joda.time.field.UnsupportedDurationField,3,31,2,0,9,270,25,22,1,3,0,2,1,249,13,1,5,6,17,3,5,11,33,5,14,20,28,3,13,14,20,2,2,22,2,2,2,13,9,3,1,3,1,7,4,1,0,1,0,0,0,0,22,13,3801,22,206,68,3823,88,1.0,0.0,0.0034004708344232276,0.0,0.14772727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0,Perfect
org.joda.time.chrono.BasicDayOfMonthDateTimeField,6,16,4,0,16,0,10,7,0,2,0,1,7,92,10,1,3,7,25,4,6,18,56,6,23,26,52,3,18,23,3,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2124,3801,22,75225,176,3823,88,0.9915966386554622,0.008403361344537815,0.5555846194088412,0.004708344232278315,24.34090909090909,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.008387698042870456,Bad
org.joda.time.chrono.AssembledChronology,6,136,3,8,85,1060,49,40,2,74,35,1,35,495,131,7,21,70,42,1,6,35,109,30,4,314,144,10,4,162,3,9,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1345,3801,22,7169,80,3823,88,0.9970348406226834,0.0029651593773165306,0.3518179440230186,0.00104629871828407,15.329545454545455,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.002926115581565472,Bad
org.joda.time.chrono.ISOYearOfEraDateTimeField,6,18,4,0,19,120,16,14,0,2,0,2,4,99,5,2,3,3,1,1,1,1,44,5,37,9,43,5,37,8,12,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2777,3801,22,21446,51,3823,88,0.993915533285612,0.006084466714387974,0.7263928851687157,0.004446769552707298,31.75,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.006073597713469096,Bad
org.joda.time.chrono.ISOChronology,8,26,4,0,20,79,15,8,3,7,0,6,12,216,29,3,12,10,12,1,5,4,6,7,6,23,8,6,8,23,2,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1832,3801,22,14337,51,3823,88,0.9897352782279849,0.010264721772015126,0.4792048129741041,0.004969918911849333,21.03409090909091,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.010248112189859764,Good
org.joda.time.tz.DefaultNameProvider,1,23,1,0,11,10,5,3,0,1,0,0,2,89,31,5,7,27,20,3,3,20,65,8,16,55,55,5,13,45,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,947,3801,22,62097,690,3823,88,0.9823651452282157,0.017634854771784232,0.2477112215537536,0.004446769552707298,10.954545454545455,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.017543859649122806,Very-Good
org.joda.time.field.ScaledDurationField,4,21,4,0,15,0,17,17,0,2,0,1,3,132,27,3,21,4,7,2,3,6,85,4,55,12,83,4,53,9,15,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,309,3801,22,3464,48,3823,88,0.9935691318327974,0.006430868167202572,0.08082657598744442,0.000523149359142035,3.534090909090909,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.006042296072507553,Bad
org.joda.time.DateTime,21,165,5,0,81,7450,125,120,5,4,0,2,11,2190,88,3,46,6,33,1,31,2,44,8,37,26,46,8,38,15,8,5,21,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,338,3839,22,340,1,3861,108,0.9941176470588236,0.0058823529411764705,0.08754208754208755,0.000518000518000518,3.1481481481481484,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005555555555555556,Bad
org.joda.time.base.AbstractDateTime,4,28,2,1,32,276,24,23,0,0,0,0,4,300,9,1,5,4,4,1,4,1,39,3,26,10,38,3,26,9,21,1,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,168,3839,22,6643,249,3861,108,0.9940828402366864,0.005917159763313609,0.04351204351204351,0.000259000259000259,1.5648148148148149,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005263157894736842,Bad
org.joda.time.field.FieldUtils,3,56,1,0,6,136,17,16,16,0,0,0,12,322,86,12,45,20,29,2,15,10,150,5,62,21,148,5,60,19,4,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,312,3839,22,3657,57,3861,108,0.9936305732484076,0.006369426751592357,0.08080808080808081,0.000518000518000518,2.9074074074074074,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005988023952095809,Bad
