file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\MockBadChronology.java,org.joda.time.convert.MockBadChronology,class,3,5,3,0,0,10,5,4,0,0,0,0,0,41
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestLocalDateTime_Basics.java,org.joda.time.TestLocalDateTime_Basics,class,25,96,3,0,176,2200,76,73,2,17,0,13,152,935
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\DateTimeComparator.java,org.joda.time.DateTimeComparator,class,4,30,1,0,14,18,13,11,5,6,0,4,8,251
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java,org.joda.time.chrono.BasicDayOfMonthDateTimeField,class,6,16,4,0,16,0,10,7,0,2,0,1,7,92
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\tz\ZoneInfoProvider.java,org.joda.time.tz.ZoneInfoProvider,class,2,34,1,0,30,31,11,5,2,4,0,0,5,263
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestYearMonth_Constructors.java,org.joda.time.TestYearMonth_Constructors,class,9,48,2,0,28,295,34,32,2,9,0,5,26,361
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicChronology.java,org.joda.time.chrono.BasicChronology,class,24,82,8,3,71,1421,54,10,0,26,2,22,40,684
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\field\DecoratedDurationField.java,org.joda.time.field.DecoratedDurationField,class,3,12,3,1,9,0,10,10,0,2,0,1,0,89
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\field\ScaledDurationField.java,org.joda.time.field.ScaledDurationField,class,4,21,4,0,15,0,17,17,0,2,0,1,3,132
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\base\BasePartial.java,org.joda.time.base.BasePartial,class,8,18,2,4,19,18,16,5,0,3,0,1,12,290
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\gj\TestJulianMonthOfYearField.java,org.joda.time.chrono.gj.TestJulianMonthOfYearField,class,2,9,6,0,11,3,3,3,0,0,0,0,2,57
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\format\TestTextFields.java,org.joda.time.format.TestTextFields,class,9,20,2,0,19,13,10,8,2,6,0,4,18,132
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\convert\NullConverter.java,org.joda.time.convert.NullConverter,class,11,5,2,0,4,10,5,4,0,1,0,1,1,89
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\DurationField.java,org.joda.time.DurationField,class,2,22,1,4,3,190,20,20,0,0,0,0,0,294
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\IllegalInstantException.java,org.joda.time.IllegalInstantException,class,2,7,5,0,5,6,4,3,2,1,0,1,3,80
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDuration_Basics.java,org.joda.time.TestDuration_Basics,class,15,77,5,0,75,2475,71,69,2,10,0,1,78,727
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\format\TestPeriodFormatter.java,org.joda.time.format.TestPeriodFormatter,class,9,23,2,0,37,0,15,13,2,14,0,8,27,199
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestLocalDateTime_Constructors.java,org.joda.time.TestLocalDateTime_Constructors,class,11,86,2,0,35,939,62,60,2,15,0,10,33,711
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestBasePartial.java,org.joda.time.TestBasePartial,class,10,18,4,0,19,89,14,10,2,5,0,1,7,117
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestMutablePeriod_Constructors.java,org.joda.time.TestMutablePeriod_Constructors,class,12,62,2,0,36,1828,61,59,2,10,0,2,105,900
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\MockZeroNullIntegerConverter.java,org.joda.time.convert.MockZeroNullIntegerConverter,class,5,5,1,0,0,10,5,5,0,1,1,1,0,43
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\ReadWritablePeriod.java,org.joda.time.ReadWritablePeriod,interface,3,26,1,0,0,325,26,0,0,0,0,0,0,252
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\base\BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,class,11,38,1,7,31,147,18,12,3,3,0,2,9,322
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder,class,16,285,3,0,124,2703,87,60,10,34,0,3,49,1527
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\convert\ReadableInstantConverter.java,org.joda.time.convert.ReadableInstantConverter,class,8,9,2,0,6,10,5,4,0,1,0,1,3,104
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicWeekyearDateTimeField.java,org.joda.time.chrono.BasicWeekyearDateTimeField,class,4,28,4,0,24,26,17,15,0,3,0,2,4,224
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestBaseSingleFieldPeriod.java,org.joda.time.TestBaseSingleFieldPeriod,class,21,38,3,0,44,300,25,23,5,1,0,1,77,298
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\gj\MainTest.java,org.joda.time.chrono.gj.MainTest,class,10,49,2,0,56,180,21,3,3,13,2,8,7,389
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\ReadablePartial.java,org.joda.time.ReadablePartial,interface,6,11,1,0,0,55,11,0,0,0,0,0,0,173
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\gj\TestGJDayOfYearField.java,org.joda.time.chrono.gj.TestGJDayOfYearField,class,3,10,5,0,10,36,9,9,0,0,0,0,1,53
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\LimitChronology.java,org.joda.time.chrono.LimitChronology,class,16,85,14,0,77,1377,54,46,1,11,0,4,5,521
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDateMidnight_Constructors.java,org.joda.time.TestDateMidnight_Constructors,class,8,73,2,0,30,707,47,45,2,15,0,2,81,563
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\Minutes.java,org.joda.time.Minutes,class,19,42,2,0,28,313,26,24,6,8,6,8,32,440
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDateMidnight_Properties.java,org.joda.time.TestDateMidnight_Properties,class,9,39,2,0,90,735,39,37,2,10,0,3,16,486
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\example\org\joda\example\time\TimeZoneTable.java,org.joda.example.time.TimeZoneTable,class,4,24,1,0,29,4,8,6,2,4,0,2,6,145
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestPartial_Match.java,org.joda.time.TestPartial_Match,class,12,9,2,0,21,24,8,5,2,20,0,16,24,140
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\gj\TestGJChronology.java,org.joda.time.chrono.gj.TestGJChronology,class,14,50,3,2,19,920,44,16,3,2,0,1,6,247
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\TestReadableIntervalConverter.java,org.joda.time.convert.TestReadableIntervalConverter,class,11,18,2,0,39,153,16,15,2,6,0,5,28,163
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\TestReadablePartialConverter.java,org.joda.time.convert.TestReadablePartialConverter,class,14,18,4,0,30,56,12,10,2,7,0,6,16,126
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestStringConvert.java,org.joda.time.TestStringConvert,class,23,25,2,0,14,294,25,23,2,1,0,1,13,172
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\format\DateTimeFormat.java,org.joda.time.format.DateTimeFormat,class,11,137,1,0,67,480,36,22,24,15,0,12,34,819
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDateTimeZone.java,org.joda.time.TestDateTimeZone,class,22,122,3,0,75,2417,76,74,2,12,0,6,200,921
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDateTime_Properties.java,org.joda.time.TestDateTime_Properties,class,12,108,2,0,112,3434,84,82,2,10,0,3,20,1204
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestLocalDateTime_Properties.java,org.joda.time.TestLocalDateTime_Properties,class,10,94,2,0,75,2101,66,63,2,7,0,1,10,906
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\TestCopticChronology.java,org.joda.time.chrono.TestCopticChronology,class,11,36,2,0,123,133,22,20,2,13,0,8,69,513
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestMutablePeriod_Updates.java,org.joda.time.TestMutablePeriod_Updates,class,14,91,2,0,72,3317,82,80,2,10,0,2,52,1315
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestTimeOfDay_Basics.java,org.joda.time.TestTimeOfDay_Basics,class,21,82,3,0,100,1584,61,58,2,14,0,11,102,797
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\TestReadableInstantConverter.java,org.joda.time.convert.TestReadableInstantConverter,class,14,14,2,0,26,71,12,11,2,6,0,5,17,123
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\field\TestPreciseDurationDateTimeField.java,org.joda.time.field.TestPreciseDurationDateTimeField,class,17,104,15,0,61,4272,89,81,2,3,0,3,35,579
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestMutableInterval_Updates.java,org.joda.time.TestMutableInterval_Updates,class,14,59,3,0,31,0,45,43,2,10,0,2,16,344
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\TestJulianChronology.java,org.joda.time.chrono.TestJulianChronology,class,6,18,2,0,67,66,16,14,2,8,0,3,68,267
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicWeekOfWeekyearDateTimeField.java,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,class,6,17,4,0,15,36,13,10,0,2,0,1,4,103
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicYearDateTimeField.java,org.joda.time.chrono.BasicYearDateTimeField,class,4,23,4,0,19,0,18,16,0,2,0,1,5,125
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\MockPartial.java,org.joda.time.MockPartial,class,10,12,1,0,4,66,12,12,0,1,1,1,1,61
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\TestLongConverter.java,org.joda.time.convert.TestLongConverter,class,9,12,2,0,25,56,12,11,2,6,0,5,15,100
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\DateTimeUtils.java,org.joda.time.DateTimeUtils,class,16,54,1,0,26,393,30,24,23,5,0,3,30,548
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\Instant.java,org.joda.time.Instant,class,11,25,2,0,19,170,20,20,3,2,0,1,8,338
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestMonthDay_Properties.java,org.joda.time.TestMonthDay_Properties,class,10,30,2,0,53,270,24,21,2,7,0,2,16,296
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\tz\TestBuilder.java,org.joda.time.tz.TestBuilder,class,9,21,2,0,29,81,15,8,7,3,0,2,16,285
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\field\TestFieldUtils.java,org.joda.time.field.TestFieldUtils,class,4,38,2,0,10,36,9,9,2,0,0,0,99,263
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestMutablePeriod_Basics.java,org.joda.time.TestMutablePeriod_Basics,class,12,17,4,0,38,132,17,15,2,10,0,2,17,417
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\format\TestDateTimeFormatStyle.java,org.joda.time.format.TestDateTimeFormatStyle,class,7,33,2,0,37,0,25,23,2,13,0,8,112,334
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\convert\TestNullConverter.java,org.joda.time.convert.TestNullConverter,class,11,18,2,0,45,131,18,16,2,10,0,5,34,162
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\convert\InstantConverter.java,org.joda.time.convert.InstantConverter,interface,3,3,1,0,0,3,3,0,0,0,0,0,0,66
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestSerialization.java,org.joda.time.TestSerialization,class,27,36,2,0,40,535,34,31,2,11,0,3,32,461
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\base\AbstractPeriod.java,org.joda.time.base.AbstractPeriod,class,7,25,1,1,15,91,14,13,0,0,0,0,1,229
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestYearMonth_Properties.java,org.joda.time.TestYearMonth_Properties,class,10,32,2,0,53,270,24,21,2,7,0,2,16,310
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDateTime_Basics.java,org.joda.time.TestDateTime_Basics,class,35,108,5,0,198,2070,93,90,2,21,0,13,84,1045
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\example\org\joda\example\time\DateTimeBrowser.java,org.joda.example.time.DateTimeBrowser,class,14,91,16,0,104,1381,58,20,2,18,0,1,21,1106
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\ReadWritableDateTime.java,org.joda.time.ReadWritableDateTime,interface,2,26,1,0,0,325,26,0,0,0,0,0,0,239
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\TestGregorianChronology.java,org.joda.time.chrono.TestGregorianChronology,class,9,19,2,0,71,82,17,15,2,8,0,3,69,278
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestHours.java,org.joda.time.TestHours,class,20,44,2,0,46,494,32,30,2,1,0,1,84,340
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\format\TestPeriodFormatterBuilder.java,org.joda.time.format.TestPeriodFormatterBuilder,class,10,73,2,0,55,0,59,57,2,13,0,7,17,737
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\format\TestAll.java,org.joda.time.format.TestAll,class,5,3,2,0,17,3,3,3,2,0,0,0,14,55
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\convert\Converter.java,org.joda.time.convert.Converter,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,31
